Who is the creator of Kotlin?|JetBrains;Google;Microsoft;None of these|JetBrains
Which is a valid function declaration in Kotlin?|int sum(int a, int b);int sum(a: Int, b: Int);function sum(a: Int, b: Int): Int;fun sum(a: Int, b: Int): Int|fun sum(a: Int, b: Int): Int
What is the difference between val and var in Kotlin?|Variables declared with val are final,those with var are not;var is scoped to the nearest function block and val is scoped to the nearest enclosing block;Variables declared with var are final,those with val are not;Variables declared with val can only access const members|Variables declared with val are final,those with var are not
What does a data class not offer?|Automatic conversion from/to JSON;An auto-generated toString() method;Auto-generated hashCode() and equals() methods;A generated copy(...) method, to create copies of instances|Automatic conversion from/to JSON
Which of these targets does Kotlin currently not support?|.NET CLR;JVM;JavaScript;LLVM|.NET CLR
What are Kotlin coroutines?|These are functions which accept other functions as arguments or return them;They provide asynchronous code without thread blocking;It's Kotlin's term of class methods;That's how the automatically generated methods hashCode() and equals() in data classes are called|They provide asynchronous code without thread blocking
What is the correct way to declare a variable of integer type in Kotlin?|var i : Int = 42;var i : int = 42;let i = 42; int i = 42|var i : Int = 42
What is the correct syntax to convert the String "42" to a Long in Kotlin?|val l: Long = "42.toLong()";val l: Long = <Long>"42";val l: Long = (Long)"42";val l: Long = Long.parseLong("42")|val l: Long = "42.toLong()"
Does Kotlin have primitive data types, such as int, long, float?|Yes, Kotlin is similar to Java in this respect;No, not at language level. But the Kotlin compiler makes use of JVM primitives for best performance;Yes, but Kotlin internally always converts them to their non-primitive counterparts;No, Kotlin does not have nor use primitive data types|No, not at language level. But the Kotlin compiler makes use of JVM primitives for best performance
What does the !! operator do?|It converts any value to a non-null type and throws an exception if the value is in fact null;It compares two values for identity rather than equality;It returns the left-hand operand if the operand is not null,otherwise it returns the right hand operand;It's the modulo operator in Kotlin, similar to Java's %|It converts any value to a non-null type and throws an exception if the value is in fact null
How to kill an activity in Android?|finish();finishActivity(int requestCode);finish() and finishActivity(int requestCode);kill();None of them|finish() and finishActivity(int requestCode)
What is log message in android?|Log message is used to debug a program;Same as printf();Same as Toast().;None of them|Log message is used to debug a program
Android is based on which kernel?|Linux kernel;Windows kernel;MAC kernel;Hybrid Kernel|Linux kernel
Which of the following holds Kotlin source code for the application?|res/;assets/;src/;bin/|src/
Which of the following don’t have any UI component and run as a background process?|services;simulator;Emulator;none of these|services
Which of the following is not true about fragments?|A fragment has its own lifecycle and receives its own input events.;It is not possible to remove a fragment while the activity is running.;A fragment is defined in a Kotlin class.;A fragment's UI is defined in an XML layout file.|It is not possible to remove a fragment while the activity is running.
What parameter specifies the Android API level that Gradle should use to compile your app?|minSdkVersion;compileSdkVersion;targetSdkVersion;testSdkVersion|compileSdkVersion
True or false? When your app goes into the background, it's not guaranteed to be destroyed. It may only be stopping and waiting for the user to return to it.|True;False|True
To keep the UI running smoothly, use ___ for long-running tasks, such as all database operations.|coroutines;ViewModels;returns;managed threads|coroutines
You can create an emulator to simulate the configuration of a particular type of Android device using a tool like ___.|Theme Editor;Android SDK Manager;AVD Manager;Virtual Editor|AVD Manager
